PCA1,PCA2,label,sentence,PCA3
0.026612787,0.03091366,correct_random_chess,Na3 Nh6 f3 f6 h3 Ng8 Rh2 b5 Nb1 c5 e4 Kf7 Rh1 Qc7 Kf2 Ke6 g3 d6 Ke3 g6,-0.011306171
-0.02205508,-0.015139125,correct_random_chess,f3 c5 g4 h6 h4 d5 h5 b5 Rh4 g5 Bg2 d4 d3 Bd7 Kd2 Qc7 Ke1 a5 c4 Qf4,0.032022323
-0.024447933,-0.0028086812,correct_random_chess,Na3 Nc6 b3 Nb8 e3 a6 b4 d6 h4 Nf6 g3 Nd5 Ne2 b5 Bb2 Qd7 Bg2 e5 Qb1 Nxb4,-0.012429638
0.023361078,0.00026956084,correct_random_chess,f3 Nc6 Kf2 a5 f4 Nb4 Ke3 Nd5+ Ke4 g6 Nc3 f6 g4 Nxc3+ Kf3 Nxe2 Qe1 Ra6 b3 Rc6,-0.009385622
0.01898442,0.015513475,correct_random_chess,Nc3 a5 b4 Ra6 a3 f5 Nf3 Ra7 Rb1 c6 Na4 b5 e4 e6 Nd4 Rb7 Nxb5 Qh4 Nd6+ Ke7,-0.009780782
-0.007727329,-0.008704998,correct_random_chess,h4 d6 Nh3 Bf5 d4 c5 c3 Bxb1 Qa4+ b5 d5 a5 e3 Qd7 Rg1 Qc8 Bxb5+ Nc6 a3 Ra6,0.0032350954
0.023685263,-0.02109362,correct_random_chess,b4 g5 d4 a6 Nc3 f6 Nb1 d5 h3 Bh6 c4 Kf7 e4 Qd6 Qa4 Kg6 exd5 Bxh3 Bd2 Bf5,0.007927964
-0.020065838,-0.004079857,correct_random_chess,a4 f5 f4 d6 d4 Nh6 g4 a5 Bg2 e5 Na3 c6 fxe5 Ke7 Bf4 Kd7 Bd5 Kc7 Bg8 d5,0.01372242
-0.020954993,-0.007430332,correct_random_chess,d3 d5 c4 Bd7 c5 Nc6 a4 b6 Be3 f5 d4 g6 a5 Qb8 Bc1 Nd8 Bf4 bxa5 e4 h5,0.009612188
0.02272494,-0.0067027374,correct_random_chess,Nh3 a5 c3 g5 Nxg5 Bh6 c4 f6 Qa4 Nc6 Kd1 d5 Nf3 Kd7 d3 dxc4 Qb4 a4 h3 f5,-0.0172041
-0.0048348955,-0.008521481,correct_random_chess,h3 h6 d4 b5 Bxh6 gxh6 a3 b4 Nc3 e5 b3 h5 f3 Qf6 g3 Qg6 Qc1 d5 Ra2 Qh7,0.010632128
-0.0018094622,-0.028783677,correct_random_chess,f4 d5 g4 Qd7 g5 Qd6 Bh3 Qc5 Bxc8 Qe3 a3 Qg3+ Kf1 Nc6 d4 Rxc8 Nc3 Rd8 Nb5 Qc3,-0.0016908114
-0.0075713615,-0.0074708206,correct_random_chess,Nc3 d5 Rb1 Bg4 f4 Bf5 d4 Qd7 h4 b5 Nf3 g5 Qd2 g4 Ne4 Bh6 Nf2 e6 Qc3 Qc6,-0.008784509
0.013076399,0.0224169,correct_random_chess,g4 g5 f4 Nf6 a4 c5 Bg2 Bg7 Na3 h5 Nh3 c4 e4 Rh6 Bf1 Bh8 Rg1 d6 Qf3 Be6,0.011200519
0.032868624,0.0011289617,correct_random_chess,g4 g6 f3 h5 g5 Nh6 h4 c5 Bh3 Rh7 c4 e5 Bxd7+ Ke7 a3 Nxd7 Qa4 Nb6 Kf1 Rh8,0.0029684084
